restaurantname,pricerange,area,food,phone,addr,postcode,good food,busy,long stay,romantic,children
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,True,False,True,True,False
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,True,True,True,False,False
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,False,False,True,True,False
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,False,True,True,False,False
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,False,True,True,False,False
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,True,False,False,False,False
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,False,True,True,False,False
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,False,False,False,True,True
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,True,True,True,False,False
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,True,False,True,True,False
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,False,True,True,False,False
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,True,True,True,False,False
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,False,False,False,False,True
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,True,True,True,False,False
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,True,True,True,False,False
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,False,False,True,True,False
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,True,False,True,True,False
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,False,False,False,True,False
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,True,True,True,False,False
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,True,True,True,False,False
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,True,False,True,True,False
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,False,False,True,True,False
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,True,True,True,False,False
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,True,False,True,True,False
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,True,False,True,True,False
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,True,True,True,False,False
